駅,坪単価
洗足池,273
石川台,283
雪が谷大塚,290
御嶽山,265
久が原,266
千鳥町,263
池上,253
蓮沼,257
馬喰町,298
新小岩,190
市川,223
船橋,187
津田沼,174
稲毛,153
千葉,147
東千葉,122
都賀,135
四街道,121
佐倉,121
成東,100
信濃町,360
千駄ケ谷,397
大久保,293
高円寺,294
阿佐ケ谷,298
西荻窪,283
三鷹,257
武蔵境,236
東小金井,208
武蔵小金井,208
国分寺,231
西国分寺,198
国立,233
立川,199
日野,169
豊田,164
八王子,159
西八王子,157
高尾,138
東雲,246
国際展示場,271
東京テレポート,342
天王洲アイル,274
品川シーサイド,264
大井町,300
下神明,281
戸越公園,288
荏原町,310
北千束,308
九品仏,346
尾山台,298
等々力,302
上野毛,309
北品川,318
新馬場,267
青物横丁,266
鮫洲,253
立会川,253
大森海岸,251
平和島,231
大森町,226
梅屋敷,222
京急蒲田,237
雑色,226
六郷土手,218
京急川崎,197
八丁畷,193
鶴見市場,188
京急鶴見,193
花月園前,182
生麦,180
京急新子安,202
子安,171
神奈川新町,214
仲木戸,224
神奈川,264
戸部,227
日ノ出町,221
黄金町,182
南太田,191
井土ケ谷,174
弘明寺,181
上大岡,191
屏風浦,167
杉田,179
京急富岡,170
能見台,178
金沢文庫,173
金沢八景,170
追浜,153
京急田浦,143
安針塚,155
逸見,165
汐入,160
横須賀中央,166
県立大学,166
堀ノ内,151
京急大津,185
浦賀,141
小村井,193
東あずま,204
亀戸,223
大船,193
北鎌倉,202
鎌倉,263
逗子,225
東逗子,187
横須賀,193
衣笠,138
久里浜,157
西大井,279
新川崎,197
保土ケ谷,180
東戸塚,197
戸塚,178
若林,294
松陰神社前,287
世田谷,288
上町,277
山下,304
松原,298
